DEPTH	P_L_95	P_H_95	P_L_99	P_H_99	P_L_95_A	P_H_95_A	P_L_99_A	P_H_99_A	P_L_95_B	P_H_95_B	P_L_99_B	P_H_99_B
76	-0.25	0.25	-0.302631578947368	0.355263157894737	0.328947368421053	0.697368421052632	0.25	0.75	0.315789473684211	0.671052631578947	0.263157894736842	0.710526315789474
77	-0.25974025974026	0.272727272727273	-0.363636363636364	0.311688311688312	0.311688311688312	0.675324675324675	0.246753246753247	0.727272727272727	0.311688311688312	0.675324675324675	0.25974025974026	0.74025974025974
78	-0.256410256410256	0.256410256410256	-0.371794871794872	0.358974358974359	0.320512820512821	0.67948717948718	0.269230769230769	0.730769230769231	0.307692307692308	0.67948717948718	0.256410256410256	0.743589743589744
79	-0.253164556962025	0.253164556962025	-0.329113924050633	0.367088607594937	0.30379746835443	0.683544303797468	0.227848101265823	0.746835443037975	0.316455696202532	0.683544303797468	0.265822784810127	0.734177215189873
80	-0.25	0.25	-0.3625	0.3125	0.325	0.675	0.2625	0.7125	0.325	0.675	0.2625	0.7375
81	-0.259259259259259	0.246913580246914	-0.358024691358025	0.283950617283951	0.320987654320988	0.679012345679012	0.283950617283951	0.728395061728395	0.333333333333333	0.691358024691358	0.283950617283951	0.753086419753086
82	-0.24390243902439	0.24390243902439	-0.317073170731707	0.304878048780488	0.329268292682927	0.682926829268293	0.292682926829268	0.707317073170732	0.329268292682927	0.670731707317073	0.268292682926829	0.731707317073171
83	-0.228915662650602	0.253012048192771	-0.325301204819277	0.349397590361446	0.337349397590361	0.686746987951807	0.265060240963855	0.710843373493976	0.313253012048193	0.674698795180723	0.265060240963855	0.710843373493976
84	-0.25	0.25	-0.309523809523809	0.321428571428571	0.321428571428571	0.678571428571429	0.261904761904762	0.726190476190476	0.333333333333333	0.678571428571429	0.25	0.714285714285714
85	-0.258823529411765	0.235294117647059	-0.352941176470588	0.294117647058824	0.317647058823529	0.670588235294118	0.258823529411765	0.729411764705882	0.317647058823529	0.670588235294118	0.282352941176471	0.717647058823529
86	-0.255813953488372	0.267441860465116	-0.325581395348837	0.337209302325581	0.313953488372093	0.674418604651163	0.255813953488372	0.732558139534884	0.313953488372093	0.674418604651163	0.244186046511628	0.709302325581395
87	-0.252873563218391	0.252873563218391	-0.35632183908046	0.333333333333333	0.310344827586207	0.67816091954023	0.264367816091954	0.724137931034483	0.333333333333333	0.666666666666667	0.275862068965517	0.71264367816092
88	-0.261363636363636	0.261363636363636	-0.363636363636364	0.318181818181818	0.318181818181818	0.670454545454545	0.272727272727273	0.715909090909091	0.318181818181818	0.670454545454545	0.272727272727273	0.715909090909091
